Barrio,Titulo,Sup. Terreno,Frente,Contrafrente,Lat Derecho,Lat Izquierdo,LFI,LIB,Zonificacion,Mixtura Usos,Alt. Max.,Cant. Pisos,Sup. Vendible,Sup. Edif. Cub.,Precio,Plusvalia
Balvanera,LAVALLE 2004 / 2012,366.99m2,14.14m,14.15m,26.10m,25.79m,24.74 m,m,USAA  (Codigo Anterior : R2AII - FOT: 2.77),MIXTURA 4,,PB + 7 PISOS + 2 RETIROS,1961.56m2,,U$S  600.000,PLUSVALIA  U$S 37.532
Balvanera,LAVALLE 2946,366.99m2,14.14m,14.15m,26.10m,25.79m,24.74 m,m,USAA  (Codigo Anterior : R2AII - FOT: 2.77),MIXTURA 4,,PB + 7 PISOS + 2 RETIROS,1961.56m2,,U$S  600.000,PLUSVALIA  U$S 37.532
Balvanera,ALBERTI 272 / 278,366.99m2,14.14m,14.15m,26.10m,25.79m,24.74 m,m,USAA  (Codigo Anterior : R2AII - FOT: 2.77),MIXTURA 4,,PB + 7 PISOS + 2 RETIROS,1961.56m2,,U$S  600.000,PLUSVALIA  U$S 37.532
Barracas,JOVELLANOS 1377,363.09m2,9.27m,8.42m,41.08m,41.02m,20.44 m,27.25 m,USAM  (Codigo Anterior : E3 + 25% - FOT: 3.75),MIXTURA  2,,PB + 5 PISOS + 2 RETIROS,1252.30m2,,U$S  295.000,PLUSVALIA  U$S 0
Barracas,RIO CUARTO 2747,363.09m2,9.27m,8.42m,41.08m,41.02m,20.44 m,27.25 m,USAM  (Codigo Anterior : E3 + 25% - FOT: 3.75),MIXTURA  2,,PB + 5 PISOS + 2 RETIROS,1252.30m2,,U$S  295.000,PLUSVALIA  U$S 0
Barracas,Araoz De Lamadrid 1961,363.09m2,9.27m,8.42m,41.08m,41.02m,20.44 m,27.25 m,USAM  (Codigo Anterior : E3 + 25% - FOT: 3.75),MIXTURA  2,,PB + 5 PISOS + 2 RETIROS,1252.30m2,,U$S  295.000,PLUSVALIA  U$S 0
Barracas,AV MONTES DE OCA 1566,363.09m2,9.27m,8.42m,41.08m,41.02m,20.44 m,27.25 m,USAM  (Codigo Anterior : E3 + 25% - FOT: 3.75),MIXTURA  2,,PB + 5 PISOS + 2 RETIROS,1252.30m2,,U$S  295.000,PLUSVALIA  U$S 0
Barracas,AV CASEROS 1402,363.09m2,9.27m,8.42m,41.08m,41.02m,20.44 m,27.25 m,USAM  (Codigo Anterior : E3 + 25% - FOT: 3.75),MIXTURA  2,,PB + 5 PISOS + 2 RETIROS,1252.30m2,,U$S  295.000,PLUSVALIA  U$S 0
Barracas,IRIARTE 1656,363.09m2,9.27m,8.42m,41.08m,41.02m,20.44 m,27.25 m,USAM  (Codigo Anterior : E3 + 25% - FOT: 3.75),MIXTURA  2,,PB + 5 PISOS + 2 RETIROS,1252.30m2,,U$S  295.000,PLUSVALIA  U$S 0
Barracas,PARACAS 27,363.09m2,9.27m,8.42m,41.08m,41.02m,20.44 m,27.25 m,USAM  (Codigo Anterior : E3 + 25% - FOT: 3.75),MIXTURA  2,,PB + 5 PISOS + 2 RETIROS,1252.30m2,,U$S  295.000,PLUSVALIA  U$S 0
