Barrio,Titulo,Sup. Terreno,Frente,Contrafrente,Lat Derecho,Lat Izquierdo,LFI,LIB,Zonificacion,Mixtura Usos,Alt. Max.,Cant. Pisos,Sup. Vendible,Sup. Edif. Cub.,Precio,Plusvalia
La Paternal,CHORROARIN 147,151.32m2,8.54m,8.67m,17.85m,17.32m,No Alcanzada,m,USAA  (Codigo Anterior : E2 - FOT: 2),MIXTURA  2,,PB + 7 PISOS + 2 RETIROS,983.51m2,,U$S  850.000,PLUSVALIA  U$S 2.001
La Paternal,Balboa 220,151.32m2,8.54m,8.67m,17.85m,17.32m,No Alcanzada,m,USAA  (Codigo Anterior : E2 - FOT: 2),MIXTURA  2,,PB + 7 PISOS + 2 RETIROS,983.51m2,,U$S  850.000,PLUSVALIA  U$S 2.001
La Paternal,MATURIN  2475,151.32m2,8.54m,8.67m,17.85m,17.32m,No Alcanzada,m,USAA  (Codigo Anterior : E2 - FOT: 2),MIXTURA  2,,PB + 7 PISOS + 2 RETIROS,983.51m2,,U$S  850.000,PLUSVALIA  U$S 2.001
La Paternal,"Segui, F. J., Alte. 2541",151.32m2,8.54m,8.67m,17.85m,17.32m,No Alcanzada,m,USAA  (Codigo Anterior : E2 - FOT: 2),MIXTURA  2,,PB + 7 PISOS + 2 RETIROS,983.51m2,,U$S  850.000,PLUSVALIA  U$S 2.001
La Paternal,ALVAREZ JONTE 1691,151.32m2,8.54m,8.67m,17.85m,17.32m,No Alcanzada,m,USAA  (Codigo Anterior : E2 - FOT: 2),MIXTURA  2,,PB + 7 PISOS + 2 RETIROS,983.51m2,,U$S  850.000,PLUSVALIA  U$S 2.001
La Paternal,CHORROARIN 137,151.32m2,8.54m,8.67m,17.85m,17.32m,No Alcanzada,m,USAA  (Codigo Anterior : E2 - FOT: 2),MIXTURA  2,,PB + 7 PISOS + 2 RETIROS,983.51m2,,U$S  850.000,PLUSVALIA  U$S 2.001
La Paternal,CHORROARIN 109,151.32m2,8.54m,8.67m,17.85m,17.32m,No Alcanzada,m,USAA  (Codigo Anterior : E2 - FOT: 2),MIXTURA  2,,PB + 7 PISOS + 2 RETIROS,983.51m2,,U$S  850.000,PLUSVALIA  U$S 2.001
Liniers,HUMAITA 7241,244.36m2,8.66m,8.60m,28.35m,28.28m,No Alcanzada,m,AE 26 - 1 = USAB 1  (Codigo Anterior : RIBI - FOT: 1),MIXTURA  1,,PB + 2 PISOS,419.21m2,,U$S  150.000,PLUSVALIA  U$S 903
Mataderos,LARRAZABAL 1471,395.81m2,8.73m,17.63m,35.63m,35.55m,25.65 m,m,USAM  (Codigo Anterior : R2BIII - FOT: 1.2),MIXTURA 3,,PB + 5 PISOS + 2 RETIROS,900.87m2,,U$S  360.000,PLUSVALIA  U$S 14.160
Monte Castro,Marcos Paz 2123,225.58m2,8.66m,8.80m,25.98m,25.70m,No Alcanzada,m,AE 26 - 1 = USAB 1  (Codigo Anterior : R2BII - FOT: 1.2),MIXTURA  1,,PB + 2 PISOS,395.88m2,,U$S  230.000,PLUSVALIA  U$S 0
Monte Castro,NEMESIO TREJO 5180,225.58m2,8.66m,8.80m,25.98m,25.70m,No Alcanzada,m,AE 26 - 1 = USAB 1  (Codigo Anterior : R2BII - FOT: 1.2),MIXTURA  1,,PB + 2 PISOS,395.88m2,,U$S  230.000,PLUSVALIA  U$S 0
Monte Castro,ALCARAZ 4337,225.58m2,8.66m,8.80m,25.98m,25.70m,No Alcanzada,m,AE 26 - 1 = USAB 1  (Codigo Anterior : R2BII - FOT: 1.2),MIXTURA  1,,PB + 2 PISOS,395.88m2,,U$S  230.000,PLUSVALIA  U$S 0
Monte Castro,COLIQUEO 2170,225.58m2,8.66m,8.80m,25.98m,25.70m,No Alcanzada,m,AE 26 - 1 = USAB 1  (Codigo Anterior : R2BII - FOT: 1.2),MIXTURA  1,,PB + 2 PISOS,395.88m2,,U$S  230.000,PLUSVALIA  U$S 0
Nueva Pompeya,CHICLANA 3939,549.93m2,31.78m,21.53m,14.76m,30.77m,No Alcanzada,m,CM  (Codigo Anterior : C3II - FOT: LIBRE),MIXTURA 4,,PB + 10 PISOS + 2 RETIROS,6739.93m2,,U$S  600.000,PLUSVALIA  U$S 11.475
Nueva Pompeya,CASEROS 4194,549.93m2,31.78m,21.53m,14.76m,30.77m,No Alcanzada,m,CM  (Codigo Anterior : C3II - FOT: LIBRE),MIXTURA 4,,PB + 10 PISOS + 2 RETIROS,6739.93m2,,U$S  600.000,PLUSVALIA  U$S 11.475
Nueva Pompeya,CHICLANA 3952,549.93m2,31.78m,21.53m,14.76m,30.77m,No Alcanzada,m,CM  (Codigo Anterior : C3II - FOT: LIBRE),MIXTURA 4,,PB + 10 PISOS + 2 RETIROS,6739.93m2,,U$S  600.000,PLUSVALIA  U$S 11.475
Nueva Pompeya,CASEROS  3874/98,549.93m2,31.78m,21.53m,14.76m,30.77m,No Alcanzada,m,CM  (Codigo Anterior : C3II - FOT: LIBRE),MIXTURA 4,,PB + 10 PISOS + 2 RETIROS,6739.93m2,,U$S  600.000,PLUSVALIA  U$S 11.475
Nueva Pompeya,CHICLANA 3940,549.93m2,31.78m,21.53m,14.76m,30.77m,No Alcanzada,m,CM  (Codigo Anterior : C3II - FOT: LIBRE),MIXTURA 4,,PB + 10 PISOS + 2 RETIROS,6739.93m2,,U$S  600.000,PLUSVALIA  U$S 11.475
Nueva Pompeya,CASEROS 3590,549.93m2,31.78m,21.53m,14.76m,30.77m,No Alcanzada,m,CM  (Codigo Anterior : C3II - FOT: LIBRE),MIXTURA 4,,PB + 10 PISOS + 2 RETIROS,6739.93m2,,U$S  600.000,PLUSVALIA  U$S 11.475
Nueva Pompeya,GUARANI 384,549.93m2,31.78m,21.53m,14.76m,30.77m,No Alcanzada,m,CM  (Codigo Anterior : C3II - FOT: LIBRE),MIXTURA 4,,PB + 10 PISOS + 2 RETIROS,6739.93m2,,U$S  600.000,PLUSVALIA  U$S 11.475
Nueva Pompeya,MATANZA 3418,549.93m2,31.78m,21.53m,14.76m,30.77m,No Alcanzada,m,CM  (Codigo Anterior : C3II - FOT: LIBRE),MIXTURA 4,,PB + 10 PISOS + 2 RETIROS,6739.93m2,,U$S  600.000,PLUSVALIA  U$S 11.475
Nueva Pompeya,AV FERNANDEZ DE LA CRUZ 1105,549.93m2,31.78m,21.53m,14.76m,30.77m,No Alcanzada,m,CM  (Codigo Anterior : C3II - FOT: LIBRE),MIXTURA 4,,PB + 10 PISOS + 2 RETIROS,6739.93m2,,U$S  600.000,PLUSVALIA  U$S 11.475
Nueva Pompeya,SAENZ  168,549.93m2,31.78m,21.53m,14.76m,30.77m,No Alcanzada,m,CM  (Codigo Anterior : C3II - FOT: LIBRE),MIXTURA 4,,PB + 10 PISOS + 2 RETIROS,6739.93m2,,U$S  600.000,PLUSVALIA  U$S 11.475
Nueva Pompeya,CHICLANA 3940 / 52,549.93m2,31.78m,21.53m,14.76m,30.77m,No Alcanzada,m,CM  (Codigo Anterior : C3II - FOT: LIBRE),MIXTURA 4,,PB + 10 PISOS + 2 RETIROS,6739.93m2,,U$S  600.000,PLUSVALIA  U$S 11.475
Nueva Pompeya,Achala  3562,549.93m2,31.78m,21.53m,14.76m,30.77m,No Alcanzada,m,CM  (Codigo Anterior : C3II - FOT: LIBRE),MIXTURA 4,,PB + 10 PISOS + 2 RETIROS,6739.93m2,,U$S  600.000,PLUSVALIA  U$S 11.475
Nueva Pompeya,CHICLANA 3929/39,549.93m2,31.78m,21.53m,14.76m,30.77m,No Alcanzada,m,CM  (Codigo Anterior : C3II - FOT: LIBRE),MIXTURA 4,,PB + 10 PISOS + 2 RETIROS,6739.93m2,,U$S  600.000,PLUSVALIA  U$S 11.475
Nuñez,JUANA AZURDUY 2480,295.67m2,8.66m,8.58m,34.10m,34.50m,21.77 m,m,CM  (Codigo Anterior : C3I - FOT: 4),MIXTURA  2,,PB + 10 PISOS + 2 RETIROS,1897.64m2,,U$S  890.000,PLUSVALIA  U$S 82.057
Palermo,GORRITI 3930,159.54m2,8.40m,8.55m,18.10m,19.55m,No Alcanzada,m,AE 26 - 3  (Codigo Anterior : R2b I - FOT: 1.6),MIXTURA 3,,PB + 7 PISOS + 2 RETIROS,972.33m2,,U$S  590.000,PLUSVALIA  U$S 0
Palermo,"Ravignani, Emilio, Dr. 1385",159.54m2,8.40m,8.55m,18.10m,19.55m,No Alcanzada,m,AE 26 - 3  (Codigo Anterior : R2b I - FOT: 1.6),MIXTURA 3,,PB + 7 PISOS + 2 RETIROS,972.33m2,,U$S  590.000,PLUSVALIA  U$S 0
Palermo,NICETO VEGA 5035,159.54m2,8.40m,8.55m,18.10m,19.55m,No Alcanzada,m,AE 26 - 3  (Codigo Anterior : R2b I - FOT: 1.6),MIXTURA 3,,PB + 7 PISOS + 2 RETIROS,972.33m2,,U$S  590.000,PLUSVALIA  U$S 0
Palermo,CESPEDES 2319,159.54m2,8.40m,8.55m,18.10m,19.55m,No Alcanzada,m,AE 26 - 3  (Codigo Anterior : R2b I - FOT: 1.6),MIXTURA 3,,PB + 7 PISOS + 2 RETIROS,972.33m2,,U$S  590.000,PLUSVALIA  U$S 0
Palermo,MALABIA 1459,159.54m2,8.40m,8.55m,18.10m,19.55m,No Alcanzada,m,AE 26 - 3  (Codigo Anterior : R2b I - FOT: 1.6),MIXTURA 3,,PB + 7 PISOS + 2 RETIROS,972.33m2,,U$S  590.000,PLUSVALIA  U$S 0
Palermo,Uriarte 1296,159.54m2,8.40m,8.55m,18.10m,19.55m,No Alcanzada,m,AE 26 - 3  (Codigo Anterior : R2b I - FOT: 1.6),MIXTURA 3,,PB + 7 PISOS + 2 RETIROS,972.33m2,,U$S  590.000,PLUSVALIA  U$S 0
Palermo,"CABRERA, JOSE, ANTONIO 3730",159.54m2,8.40m,8.55m,18.10m,19.55m,No Alcanzada,m,AE 26 - 3  (Codigo Anterior : R2b I - FOT: 1.6),MIXTURA 3,,PB + 7 PISOS + 2 RETIROS,972.33m2,,U$S  590.000,PLUSVALIA  U$S 0
Palermo,CORDOBA  4261,159.54m2,8.40m,8.55m,18.10m,19.55m,No Alcanzada,m,AE 26 - 3  (Codigo Anterior : R2b I - FOT: 1.6),MIXTURA 3,,PB + 7 PISOS + 2 RETIROS,972.33m2,,U$S  590.000,PLUSVALIA  U$S 0
Palermo,JULIAN ALVAREZ 1105,159.54m2,8.40m,8.55m,18.10m,19.55m,No Alcanzada,m,AE 26 - 3  (Codigo Anterior : R2b I - FOT: 1.6),MIXTURA 3,,PB + 7 PISOS + 2 RETIROS,972.33m2,,U$S  590.000,PLUSVALIA  U$S 0
Palermo,CIUDAD DE LA PAZ 321,159.54m2,8.40m,8.55m,18.10m,19.55m,No Alcanzada,m,AE 26 - 3  (Codigo Anterior : R2b I - FOT: 1.6),MIXTURA 3,,PB + 7 PISOS + 2 RETIROS,972.33m2,,U$S  590.000,PLUSVALIA  U$S 0
Palermo,MALABIA 1270,159.54m2,8.40m,8.55m,18.10m,19.55m,No Alcanzada,m,AE 26 - 3  (Codigo Anterior : R2b I - FOT: 1.6),MIXTURA 3,,PB + 7 PISOS + 2 RETIROS,972.33m2,,U$S  590.000,PLUSVALIA  U$S 0
Palermo,CORDOBA 4175,159.54m2,8.40m,8.55m,18.10m,19.55m,No Alcanzada,m,AE 26 - 3  (Codigo Anterior : R2b I - FOT: 1.6),MIXTURA 3,,PB + 7 PISOS + 2 RETIROS,972.33m2,,U$S  590.000,PLUSVALIA  U$S 0
Palermo,DARWIN 1429,159.54m2,8.40m,8.55m,18.10m,19.55m,No Alcanzada,m,AE 26 - 3  (Codigo Anterior : R2b I - FOT: 1.6),MIXTURA 3,,PB + 7 PISOS + 2 RETIROS,972.33m2,,U$S  590.000,PLUSVALIA  U$S 0
Palermo,"Cabrera, Jose A.  4410",159.54m2,8.40m,8.55m,18.10m,19.55m,No Alcanzada,m,AE 26 - 3  (Codigo Anterior : R2b I - FOT: 1.6),MIXTURA 3,,PB + 7 PISOS + 2 RETIROS,972.33m2,,U$S  590.000,PLUSVALIA  U$S 0
Parque Avellaneda,BONIFACIO 3960,239.59m2,8.77m,9.15m,28m,25.48m,21.23 m,m,USAA  (Codigo Anterior : R2AII - FOT: 3.46),MIXTURA 3,,PB + 7 PISOS + 2 RETIROS,1096.49m2,,U$S  230.000,PLUSVALIA  U$S 3.294
Parque Chacabuco,VIEL 1361,124.61m2,10.10m,10.20m,13.50m,13.64m,No Alcanzada,m,USAM  (Codigo Anterior : R2BI - FOT: 1.6 +25%),MIXTURA  2,,PB + 5 PISOS + 2 RETIROS,913.98m2,,U$S  390.000,PLUSVALIA  U$S 42.564
Parque Chacabuco,GREGORIO LAFERRERE 1127,124.61m2,10.10m,10.20m,13.50m,13.64m,No Alcanzada,m,USAM  (Codigo Anterior : R2BI - FOT: 1.6 +25%),MIXTURA  2,,PB + 5 PISOS + 2 RETIROS,913.98m2,,U$S  390.000,PLUSVALIA  U$S 42.564
Parque Chacabuco,SENILLOSA 1197,124.61m2,10.10m,10.20m,13.50m,13.64m,No Alcanzada,m,USAM  (Codigo Anterior : R2BI - FOT: 1.6 +25%),MIXTURA  2,,PB + 5 PISOS + 2 RETIROS,913.98m2,,U$S  390.000,PLUSVALIA  U$S 42.564
Parque Chas,AVALOS 1135,260.15m2,8.66m,8.66m,30.04m,30.04m,No Alcanzada,m,U 39 + ENRASE  (Codigo Anterior : U39 - FOT: N/A),MIXTURA 4,,PB + 9 PISOS,1331.59m2,,U$S  278.000,PLUSVALIA  U$S 0
Parque Chas,ARISMENDI  2753,260.15m2,8.66m,8.66m,30.04m,30.04m,No Alcanzada,m,U 39 + ENRASE  (Codigo Anterior : U39 - FOT: N/A),MIXTURA 4,,PB + 9 PISOS,1331.59m2,,U$S  278.000,PLUSVALIA  U$S 0
Parque Chas,LLERENA 3138,260.15m2,8.66m,8.66m,30.04m,30.04m,No Alcanzada,m,U 39 + ENRASE  (Codigo Anterior : U39 - FOT: N/A),MIXTURA 4,,PB + 9 PISOS,1331.59m2,,U$S  278.000,PLUSVALIA  U$S 0
Parque Chas,GANDARA 2923,260.15m2,8.66m,8.66m,30.04m,30.04m,No Alcanzada,m,U 39 + ENRASE  (Codigo Anterior : U39 - FOT: N/A),MIXTURA 4,,PB + 9 PISOS,1331.59m2,,U$S  278.000,PLUSVALIA  U$S 0
Parque Chas,AV DE LOS INCAS 5441,260.15m2,8.66m,8.66m,30.04m,30.04m,No Alcanzada,m,U 39 + ENRASE  (Codigo Anterior : U39 - FOT: N/A),MIXTURA 4,,PB + 9 PISOS,1331.59m2,,U$S  278.000,PLUSVALIA  U$S 0
Parque Patricios,INCLAN  2576,103.47m2,7.37m,7.27m,14.66m,13.81m,No Alcanzada,m,USAM  (Codigo Anterior : R2BI - FOT: 1.6),MIXTURA 3,,PB + 5 PISOS + 2 RETIROS,563.02m2,,U$S  300.000,PLUSVALIA  U$S 45.424
Parque Patricios,Dean Funes  1720,103.47m2,7.37m,7.27m,14.66m,13.81m,No Alcanzada,m,USAM  (Codigo Anterior : R2BI - FOT: 1.6),MIXTURA 3,,PB + 5 PISOS + 2 RETIROS,563.02m2,,U$S  300.000,PLUSVALIA  U$S 45.424
Parque Patricios,LUNA 388,103.47m2,7.37m,7.27m,14.66m,13.81m,No Alcanzada,m,USAM  (Codigo Anterior : R2BI - FOT: 1.6),MIXTURA 3,,PB + 5 PISOS + 2 RETIROS,563.02m2,,U$S  300.000,PLUSVALIA  U$S 45.424
Parque Patricios,COLONIA 201,103.47m2,7.37m,7.27m,14.66m,13.81m,No Alcanzada,m,USAM  (Codigo Anterior : R2BI - FOT: 1.6),MIXTURA 3,,PB + 5 PISOS + 2 RETIROS,563.02m2,,U$S  300.000,PLUSVALIA  U$S 45.424
Parque Patricios,Jujuy 1820 esq Brasil 2600,103.47m2,7.37m,7.27m,14.66m,13.81m,No Alcanzada,m,USAM  (Codigo Anterior : R2BI - FOT: 1.6),MIXTURA 3,,PB + 5 PISOS + 2 RETIROS,563.02m2,,U$S  300.000,PLUSVALIA  U$S 45.424
Parque Patricios,AV BRASIL 3098,103.47m2,7.37m,7.27m,14.66m,13.81m,No Alcanzada,m,USAM  (Codigo Anterior : R2BI - FOT: 1.6),MIXTURA 3,,PB + 5 PISOS + 2 RETIROS,563.02m2,,U$S  300.000,PLUSVALIA  U$S 45.424
Parque Patricios,CATAMARCA  2010,103.47m2,7.37m,7.27m,14.66m,13.81m,No Alcanzada,m,USAM  (Codigo Anterior : R2BI - FOT: 1.6),MIXTURA 3,,PB + 5 PISOS + 2 RETIROS,563.02m2,,U$S  300.000,PLUSVALIA  U$S 45.424
Recoleta,URIBURU 1159,270.25m2,8.62m,8.90m,30m,31.70m,27.9 m,m,CM  (Codigo Anterior : R2AI - FOT: 4.16),MIXTURA  2,,PB + 10 PISOS + 2 RETIROS,1853.64m2,,U$S  1.100.000,PLUSVALIA  U$S 111.539
Recoleta,CHARCAS 2886,270.25m2,8.62m,8.90m,30m,31.70m,27.9 m,m,CM  (Codigo Anterior : R2AI - FOT: 4.16),MIXTURA  2,,PB + 10 PISOS + 2 RETIROS,1853.64m2,,U$S  1.100.000,PLUSVALIA  U$S 111.539
Recoleta,FRENCH  2675,270.25m2,8.62m,8.90m,30m,31.70m,27.9 m,m,CM  (Codigo Anterior : R2AI - FOT: 4.16),MIXTURA  2,,PB + 10 PISOS + 2 RETIROS,1853.64m2,,U$S  1.100.000,PLUSVALIA  U$S 111.539
Saavedra,RICARDO BALBIN 3675,365.73m2,8.68m,8.41m,42.75m,42.85m,No Alcanzada,m,USAB 2  (Codigo Anterior : R2BI - FOT: 1.6),MIXTURA  1,,PB + 3 PISOS + 1 RETIRO,1097.77m2,,U$S  2.500.000,PLUSVALIA  U$S 50.364
Saavedra,CIUDAD DE LA PAZ 3870,365.73m2,8.68m,8.41m,42.75m,42.85m,No Alcanzada,m,USAB 2  (Codigo Anterior : R2BI - FOT: 1.6),MIXTURA  1,,PB + 3 PISOS + 1 RETIRO,1097.77m2,,U$S  2.500.000,PLUSVALIA  U$S 50.364
Saavedra,ROQUE PEREZ 4844,365.73m2,8.68m,8.41m,42.75m,42.85m,No Alcanzada,m,USAB 2  (Codigo Anterior : R2BI - FOT: 1.6),MIXTURA  1,,PB + 3 PISOS + 1 RETIRO,1097.77m2,,U$S  2.500.000,PLUSVALIA  U$S 50.364
Saavedra,"Balbin, Ricardo, Dr. Av.  4607",365.73m2,8.68m,8.41m,42.75m,42.85m,No Alcanzada,m,USAB 2  (Codigo Anterior : R2BI - FOT: 1.6),MIXTURA  1,,PB + 3 PISOS + 1 RETIRO,1097.77m2,,U$S  2.500.000,PLUSVALIA  U$S 50.364
Saavedra,JARAMILLO 2710,365.73m2,8.68m,8.41m,42.75m,42.85m,No Alcanzada,m,USAB 2  (Codigo Anterior : R2BI - FOT: 1.6),MIXTURA  1,,PB + 3 PISOS + 1 RETIRO,1097.77m2,,U$S  2.500.000,PLUSVALIA  U$S 50.364
"Saavedra, Buenos Aires, Argentina",WASHINGTON 3950,425.90m2,11.95m,11.97m,35.62m,35.60m,No Alcanzada,m,CA  (Codigo Anterior : R1a - FOT: 1.3),MIXTURA 4,,PB + 12 PISOS + 2 RETIROS,3928.06m2,,U$S  380.000,PLUSVALIA  U$S 28.986
"Saavedra, Buenos Aires, Argentina",Ricardo Balbin  3801,425.90m2,11.95m,11.97m,35.62m,35.60m,No Alcanzada,m,CA  (Codigo Anterior : R1a - FOT: 1.3),MIXTURA 4,,PB + 12 PISOS + 2 RETIROS,3928.06m2,,U$S  380.000,PLUSVALIA  U$S 28.986
"Saavedra, Buenos Aires, Argentina",CABILDO 4932,425.90m2,11.95m,11.97m,35.62m,35.60m,No Alcanzada,m,CA  (Codigo Anterior : R1a - FOT: 1.3),MIXTURA 4,,PB + 12 PISOS + 2 RETIROS,3928.06m2,,U$S  380.000,PLUSVALIA  U$S 28.986
San Cristobal,PAVON 2170,377.04m2,8.67m,8.83m,42.98m,43.20m,32.19 m,42.92 m,CM  (Codigo Anterior : R2AII - FOT: 3.46),MIXTURA 4,,PB + 10 PISOS + 2 RETIROS,2419.00m2,,U$S  230.000,PLUSVALIA  U$S 4.436
San Cristobal,SAN JUAN 3258 / 3266,377.04m2,8.67m,8.83m,42.98m,43.20m,32.19 m,42.92 m,CM  (Codigo Anterior : R2AII - FOT: 3.46),MIXTURA 4,,PB + 10 PISOS + 2 RETIROS,2419.00m2,,U$S  230.000,PLUSVALIA  U$S 4.436
San Cristobal,HUMBERTO 1°  2651,377.04m2,8.67m,8.83m,42.98m,43.20m,32.19 m,42.92 m,CM  (Codigo Anterior : R2AII - FOT: 3.46),MIXTURA 4,,PB + 10 PISOS + 2 RETIROS,2419.00m2,,U$S  230.000,PLUSVALIA  U$S 4.436
San Cristobal,CARLOS CALVO 2222,377.04m2,8.67m,8.83m,42.98m,43.20m,32.19 m,42.92 m,CM  (Codigo Anterior : R2AII - FOT: 3.46),MIXTURA 4,,PB + 10 PISOS + 2 RETIROS,2419.00m2,,U$S  230.000,PLUSVALIA  U$S 4.436
San Cristobal,HUMBERTO 1°  2450,377.04m2,8.67m,8.83m,42.98m,43.20m,32.19 m,42.92 m,CM  (Codigo Anterior : R2AII - FOT: 3.46),MIXTURA 4,,PB + 10 PISOS + 2 RETIROS,2419.00m2,,U$S  230.000,PLUSVALIA  U$S 4.436
Versalles,RUIZ DE LOS LLANOS 760,368.22m2,8.66m,8.66m,42.51m,42.53m,No Alcanzada,28.43 m,USAB 2  (Codigo Anterior : R1bI - FOT: 1),MIXTURA  2,,PB + 3 PISOS + 1 RETIRO,917.48m2,,U$S  290.000,PLUSVALIA  U$S 10.031
Villa Crespo,Juan B Justo 1959,176.53m2,13.31m,13.60m,14m,13.58m,No Alcanzada,m,USAA  (Codigo Anterior : R2aII - FOT: 3.46),MIXTURA 3,,PB + 7 PISOS + 2 RETIROS,1500.56m2,,U$S  330.000,PLUSVALIA  U$S 91.853
Villa Crespo,MALABIA 234,176.53m2,13.31m,13.60m,14m,13.58m,No Alcanzada,m,USAA  (Codigo Anterior : R2aII - FOT: 3.46),MIXTURA 3,,PB + 7 PISOS + 2 RETIROS,1500.56m2,,U$S  330.000,PLUSVALIA  U$S 91.853
Villa Crespo,AGUIRRE 368,176.53m2,13.31m,13.60m,14m,13.58m,No Alcanzada,m,USAA  (Codigo Anterior : R2aII - FOT: 3.46),MIXTURA 3,,PB + 7 PISOS + 2 RETIROS,1500.56m2,,U$S  330.000,PLUSVALIA  U$S 91.853
Villa Crespo,Remedios Escalada De S. Martin 755,176.53m2,13.31m,13.60m,14m,13.58m,No Alcanzada,m,USAA  (Codigo Anterior : R2aII - FOT: 3.46),MIXTURA 3,,PB + 7 PISOS + 2 RETIROS,1500.56m2,,U$S  330.000,PLUSVALIA  U$S 91.853
Villa Crespo,THAMES 37,176.53m2,13.31m,13.60m,14m,13.58m,No Alcanzada,m,USAA  (Codigo Anterior : R2aII - FOT: 3.46),MIXTURA 3,,PB + 7 PISOS + 2 RETIROS,1500.56m2,,U$S  330.000,PLUSVALIA  U$S 91.853
Villa Crespo,MURILLO 866,176.53m2,13.31m,13.60m,14m,13.58m,No Alcanzada,m,USAA  (Codigo Anterior : R2aII - FOT: 3.46),MIXTURA 3,,PB + 7 PISOS + 2 RETIROS,1500.56m2,,U$S  330.000,PLUSVALIA  U$S 91.853
Villa Crespo,JULIAN ALVAREZ 1021,176.53m2,13.31m,13.60m,14m,13.58m,No Alcanzada,m,USAA  (Codigo Anterior : R2aII - FOT: 3.46),MIXTURA 3,,PB + 7 PISOS + 2 RETIROS,1500.56m2,,U$S  330.000,PLUSVALIA  U$S 91.853
Villa Crespo,CORDOBA 5022,176.53m2,13.31m,13.60m,14m,13.58m,No Alcanzada,m,USAA  (Codigo Anterior : R2aII - FOT: 3.46),MIXTURA 3,,PB + 7 PISOS + 2 RETIROS,1500.56m2,,U$S  330.000,PLUSVALIA  U$S 91.853
Villa Crespo,SERRANO 534,176.53m2,13.31m,13.60m,14m,13.58m,No Alcanzada,m,USAA  (Codigo Anterior : R2aII - FOT: 3.46),MIXTURA 3,,PB + 7 PISOS + 2 RETIROS,1500.56m2,,U$S  330.000,PLUSVALIA  U$S 91.853
Villa Crespo,MUÑECAS 1002,176.53m2,13.31m,13.60m,14m,13.58m,No Alcanzada,m,USAA  (Codigo Anterior : R2aII - FOT: 3.46),MIXTURA 3,,PB + 7 PISOS + 2 RETIROS,1500.56m2,,U$S  330.000,PLUSVALIA  U$S 91.853
Villa del Parque,HELGUERA 3284,402.02m2,8.65m,8.66m,46.40m,46.50m,No Alcanzada,36.31 m,USAB 1  (Codigo Anterior : R2b II - FOT: 1.2),MIXTURA  2,,PB + 2 PISOS,602.00m2,,U$S  900.000,PLUSVALIA  U$S 68.105
Villa del Parque,SAN MARTIN. AV 4102,402.02m2,8.65m,8.66m,46.40m,46.50m,No Alcanzada,36.31 m,USAB 1  (Codigo Anterior : R2b II - FOT: 1.2),MIXTURA  2,,PB + 2 PISOS,602.00m2,,U$S  900.000,PLUSVALIA  U$S 68.105
Villa del Parque,ARGERICH 3098,402.02m2,8.65m,8.66m,46.40m,46.50m,No Alcanzada,36.31 m,USAB 1  (Codigo Anterior : R2b II - FOT: 1.2),MIXTURA  2,,PB + 2 PISOS,602.00m2,,U$S  900.000,PLUSVALIA  U$S 68.105
Villa del Parque,BUFANO 2515 / 2547,402.02m2,8.65m,8.66m,46.40m,46.50m,No Alcanzada,36.31 m,USAB 1  (Codigo Anterior : R2b II - FOT: 1.2),MIXTURA  2,,PB + 2 PISOS,602.00m2,,U$S  900.000,PLUSVALIA  U$S 68.105
Villa del Parque,San Nicolas  3135,402.02m2,8.65m,8.66m,46.40m,46.50m,No Alcanzada,36.31 m,USAB 1  (Codigo Anterior : R2b II - FOT: 1.2),MIXTURA  2,,PB + 2 PISOS,602.00m2,,U$S  900.000,PLUSVALIA  U$S 68.105
Villa Devoto,TINOGASTA 4389,309.75m2,8.66m,9.66m,36.03m,31.60m,19.80 m,26.43 m,USAA  (Codigo Anterior : C3II - FOT: LIBRE),MIXTURA 4,,PB + 7 PISOS + 2 RETIROS,1448.00m2,,U$S  389.000,PLUSVALIA  U$S 24.838
Villa Devoto,CARLOS ANTONIO LOPEZ 3001,309.75m2,8.66m,9.66m,36.03m,31.60m,19.80 m,26.43 m,USAA  (Codigo Anterior : C3II - FOT: LIBRE),MIXTURA 4,,PB + 7 PISOS + 2 RETIROS,1448.00m2,,U$S  389.000,PLUSVALIA  U$S 24.838
Villa Devoto,Nogoya 4462,309.75m2,8.66m,9.66m,36.03m,31.60m,19.80 m,26.43 m,USAA  (Codigo Anterior : C3II - FOT: LIBRE),MIXTURA 4,,PB + 7 PISOS + 2 RETIROS,1448.00m2,,U$S  389.000,PLUSVALIA  U$S 24.838
Villa Devoto,MELINCUE  3952,309.75m2,8.66m,9.66m,36.03m,31.60m,19.80 m,26.43 m,USAA  (Codigo Anterior : C3II - FOT: LIBRE),MIXTURA 4,,PB + 7 PISOS + 2 RETIROS,1448.00m2,,U$S  389.000,PLUSVALIA  U$S 24.838
Villa Devoto,MOSCONI 3522,309.75m2,8.66m,9.66m,36.03m,31.60m,19.80 m,26.43 m,USAA  (Codigo Anterior : C3II - FOT: LIBRE),MIXTURA 4,,PB + 7 PISOS + 2 RETIROS,1448.00m2,,U$S  389.000,PLUSVALIA  U$S 24.838
Villa Devoto,SAN MARTIN  6957,309.75m2,8.66m,9.66m,36.03m,31.60m,19.80 m,26.43 m,USAA  (Codigo Anterior : C3II - FOT: LIBRE),MIXTURA 4,,PB + 7 PISOS + 2 RETIROS,1448.00m2,,U$S  389.000,PLUSVALIA  U$S 24.838
