Barrio,Titulo,Sup. Terreno,Frente,Contrafrente,Lat Derecho,Lat Izquierdo,LFI,LIB,Zonificacion,Mixtura Usos,Alt. Max.,Cant. Pisos,Sup. Vendible,Sup. Edif. Cub.,Precio,Plusvalia,Factibilidad
Balvanera,PASO 772,267.44m2,18.75m,19.70m,14.60m,13.37m,No Alcanzada,m,CM  (Codigo Anterior : C3I - FOT: 4),MIXTURA 4,,PB + 10 PISOS + 2 RETIROS,3143.68m2,,U$S  450.000,PLUSVALIA  U$S 23.382,https://lideresenterrenos.com.ar/estudioTerreno/161
Balvanera,URIBURU 605,267.44m2,18.75m,19.70m,14.60m,13.37m,No Alcanzada,m,CM  (Codigo Anterior : C3I - FOT: 4),MIXTURA 4,,PB + 10 PISOS + 2 RETIROS,3143.68m2,,U$S  450.000,PLUSVALIA  U$S 23.382,https://lideresenterrenos.com.ar/estudioTerreno/161
Balvanera,JUJUY 376,267.44m2,18.75m,19.70m,14.60m,13.37m,No Alcanzada,m,CM  (Codigo Anterior : C3I - FOT: 4),MIXTURA 4,,PB + 10 PISOS + 2 RETIROS,3143.68m2,,U$S  450.000,PLUSVALIA  U$S 23.382,https://lideresenterrenos.com.ar/estudioTerreno/161
Balvanera,LAVALLE 2946,267.44m2,18.75m,19.70m,14.60m,13.37m,No Alcanzada,m,CM  (Codigo Anterior : C3I - FOT: 4),MIXTURA 4,,PB + 10 PISOS + 2 RETIROS,3143.68m2,,U$S  450.000,PLUSVALIA  U$S 23.382,https://lideresenterrenos.com.ar/estudioTerreno/161
Balvanera,PASCO 281,267.44m2,18.75m,19.70m,14.60m,13.37m,No Alcanzada,m,CM  (Codigo Anterior : C3I - FOT: 4),MIXTURA 4,,PB + 10 PISOS + 2 RETIROS,3143.68m2,,U$S  450.000,PLUSVALIA  U$S 23.382,https://lideresenterrenos.com.ar/estudioTerreno/161
Balvanera,Peron 2124,267.44m2,18.75m,19.70m,14.60m,13.37m,No Alcanzada,m,CM  (Codigo Anterior : C3I - FOT: 4),MIXTURA 4,,PB + 10 PISOS + 2 RETIROS,3143.68m2,,U$S  450.000,PLUSVALIA  U$S 23.382,https://lideresenterrenos.com.ar/estudioTerreno/161
Balvanera,Hipolito Yrigoyen  2902,267.44m2,18.75m,19.70m,14.60m,13.37m,No Alcanzada,m,CM  (Codigo Anterior : C3I - FOT: 4),MIXTURA 4,,PB + 10 PISOS + 2 RETIROS,3143.68m2,,U$S  450.000,PLUSVALIA  U$S 23.382,https://lideresenterrenos.com.ar/estudioTerreno/161
Balvanera,LA RIOJA  700,267.44m2,18.75m,19.70m,14.60m,13.37m,No Alcanzada,m,CM  (Codigo Anterior : C3I - FOT: 4),MIXTURA 4,,PB + 10 PISOS + 2 RETIROS,3143.68m2,,U$S  450.000,PLUSVALIA  U$S 23.382,https://lideresenterrenos.com.ar/estudioTerreno/161
Balvanera,LAVALLE 2004 / 2012,267.44m2,18.75m,19.70m,14.60m,13.37m,No Alcanzada,m,CM  (Codigo Anterior : C3I - FOT: 4),MIXTURA 4,,PB + 10 PISOS + 2 RETIROS,3143.68m2,,U$S  450.000,PLUSVALIA  U$S 23.382,https://lideresenterrenos.com.ar/estudioTerreno/161
Barracas,AV MONTES DE OCA 1566,208.24m2,23.83m,18.43m,23.25m,m,No Alcanzada,m,USAM  (Codigo Anterior : E3 - FOT: 3),MIXTURA 4,,PB + 5 PISOS + 2 RETIROS,1321.42m2,,U$S  1.300.000,PLUSVALIA  U$S 39.501,https://lideresenterrenos.com.ar/estudioTerreno/402
Barracas,JOVELLANOS 1377,208.24m2,23.83m,18.43m,23.25m,m,No Alcanzada,m,USAM  (Codigo Anterior : E3 - FOT: 3),MIXTURA 4,,PB + 5 PISOS + 2 RETIROS,1321.42m2,,U$S  1.300.000,PLUSVALIA  U$S 39.501,https://lideresenterrenos.com.ar/estudioTerreno/402
Barracas,Araoz De Lamadrid 1961,208.24m2,23.83m,18.43m,23.25m,m,No Alcanzada,m,USAM  (Codigo Anterior : E3 - FOT: 3),MIXTURA 4,,PB + 5 PISOS + 2 RETIROS,1321.42m2,,U$S  1.300.000,PLUSVALIA  U$S 39.501,https://lideresenterrenos.com.ar/estudioTerreno/402
