@ladands,Hace 16 min,0,👏👏👏
@lorealejandra780,Hace 28 min,0,👏👏
@georgelmpj,Hace 36 min,0,👏👏👏
@hugodieterichs,Hace 16 min,3,por fin estamos dejando de ser la punta del mundo.
@bibiana.2023,Hace 27 min,2,"con lo que recaudan deberían poner en condiciones los establecimientos, los baños, los mobiliarios, aire acondicionado y calefaccion,deben pagar"
@pablitomoronzapat,Hace 37 min,2,toda la razón
@juanpedro9433,Hace 36 min,25,"4 años pagandole los estudios a este proyecto de zurdo para que se vaya a su país con título, basta, nunca más"
@beto2256,Hace 34 min,5,"Se termino lo gratis, paguen y punto."
@paulayann,Hace 37 min,4,Paga!!!!
@murielchileme,Hace 35 min,3,chauuu
@silviacostantino48,Hace 38 min,3,bien no arreció pero visto wue ellos creen tener razon
@user4286177612131,Hace 43 min,3,gratis la exucacionpRa los Argentinos
@user2041737278110,Hace 31 min,2,La educación universitaria de Argentina es muy buena ‼️‼️A PAGAR SRES. CÓMO EN CUALQUIER PAÍS SERIO
@yanel84,Hace 34 min,2,ME INDIGNE con el pibe éste 🙄🙄🙄
@elgrantatan6,Hace 2 min,0,"Hoy vi el reportaje, ellos quieren proponer lo q tienen q pagar, decía q nos hacían un favor × q traían dolares😂. Impresentables !!!!"
@martin.giusti,Hace 7 min,0,se iba a las manos el ecuatoriano jajajaja quien soooos jajajajaj
@pablitomoronzapat,Hace 37 min,6,vasta de todo grátis viva milei
@kevinn.27,Hace 1 semana(s),51.1K,el llora en el muro de los lamentos y nosotros en el muro de los aumentos
@belu_beautiful,Hace 6 día(s),13.3K,la gente no entiende que el tipo agarró un país quebrado y no es facil ponerlo de pie vamos milei Dios está con vos 💪
@juandavidluna139,Hace 1 semana(s),7144,el sabe que la argentina esta mal pero el esta haciendo lo posible para que almenos la argentina salga adelante vamos milei te tengo fe t
@sergio_ramos_43xd,Hace 1 semana(s),770,"por que llora milei?, perdon es que no estoy activo a lo que pasa,hace milei"
@mariorainis,Hace 1 semana(s),1341,La vida de Milei va a tener que tener una Película de su vida por qué está cambiando la nuestra.Gracias por luchar por la Libertad y Despertar 🦁.
@daniefsqfkj,Hace 1 semana(s),20.5K,Un politico con cabeza y con corazon 🙏🏻 un hombre noble el gran Milei
@jooon881yt,Hace 6 día(s),455,milei me recuerda a mí papá cuando intentaba sacar adelante a su familia (mí madre me abandono) mí papá cuido con amor a mí hermano y a mi♥️
@cm06043,Hace 1 semana(s),68,llorara por la caída del consumo? por el aumento del transporte público? de las tarifas de energía?
@vivianagallo4,Hace 1 semana(s),1248,Milei acordarte de los jubilados y todos los que quedaron sin trabajo purifica tu alma
@ana.65010,Hace 1 semana(s),2530,Bukele y Miley.... Dios los Proteja por Siempre
@sabrosa40,Hace 1 semana(s),1284,mi muro de los lamentos son fideos alita y puré de tomate
@arielbritez974,Hace 1 semana(s),123,el viajando y los jubilados abandonados
@scofield150290,Hace 1 semana(s),955,Palestina también llora
@mdaniesan,Hace 1 semana(s),689,somos frágiles antes la presencia de Dios por ello el llanto. grato ver esto
@elsoldado__,Hace 1 semana(s),191,está llorando por qué va a vender a la Argentina
@xamiletoronado8,Hace 1 semana(s),261,no entiendo por qué llora ... 🤔
@user8576610326199,Hace 3 día(s),84,"Primera vez q veo un Presidente llorar,y se q es x salvar a Argentina, Dios bendiga a Javier Milei😓"
@yandy240183,Hace 1 semana(s),2164,Muy conmovedor.Milei es un hombre con sentimientos incapaz de hacer daño.Argentina cuiden a su líder
@alma_2205,Hace 1 semana(s),16.9K,Mi muro de los lamentos es el cajero automático
@claudiaandreabarr4,Hace 1 semana(s),891,gracias por existir milei
@_nikitoo_1,Hace 1 semana(s),185,por que milei fue a israel?
