Coordinates,Exact_Match
"20.636858,-103.472197",True
"20.636985,-103.47216",True
"20.6366303,-103.4717074",True
"20.6387863,-103.471555",True
"20.6426109,-103.4778113",True
"20.6353649,-103.4720227",True
"20.6339801,-103.4745096",False
,
"20.638815,-103.4705738",False
"20.6387638,-103.471492",True
"20.6340611,-103.4510817",False
"20.6389301,-103.4721868",False
"20.638337,-103.4715868",True
"20.6366282,-103.4712416",False
"20.6216364,-103.4551927",False
"20.638337,-103.4715868",True
"20.6375985,-103.4711045",False
"20.6379802,-103.4722056",True
"20.635571,-103.4724894",True
"20.6590191,-103.2815504",False
,
,
"20.7525325,-103.365822",True
,
,
"20.6402957,-103.469298",True
,
"20.6409437,-103.4697255",True
,
"-29.9479945,-71.3513873",False
,
,
,
"20.6413847,-103.4701339",True
,
"20.6557955,-103.4211524",True
"20.6387777,-103.4689358",True
"20.6419496,-103.4691453",True
"20.6338134,-103.4697351",True
"20.6413806,-103.4688463",True
"20.6412697,-103.4691534",True
"20.6402039,-103.4693631",True
"20.6431945,-103.4808149",True
"20.644161,-103.4800029",True
"20.6440788,-103.4793704",True
,
,
,
"20.6440788,-103.4793704",True
"20.6466728,-103.4709491",True
,True
,True
"20.6479066,-103.4716798",True
"20.6473346,-103.4731835",False
,
"20.6417918,-103.4748266",True
"20.6485324,-103.4706051",False
"20.6486266,-103.4711279",False
"20.6482526,-103.470722",True
"20.640888,-103.4692359",True
"20.6402039,-103.4693631",True
"20.6399106,-103.4699503",True
"20.6416264,-103.4682422",True
,
,True
,False
,True
"20.6423141,-103.4690275",True
"20.6423002,-103.4693876",True
"20.6430728,-103.4705773",True
"20.6420446,-103.4682366",True
"20.6408878,-103.4722542",True
"20.7519093,-103.3708627",False
"20.642755,-103.4678455",True
"20.6419719,-103.4679828",True
,
"20.6423476,-103.4680448",True
,
,
"20.6430514,-103.4697638",False
"20.6399454,-103.4751934",True
,True
,True
,True
,False
"20.6406381,-103.4796857",False
"20.6420184,-103.4684472",True
"20.6396041,-103.4726224",False
,True
,
"20.6439124,-103.4762419",True
"20.6462463,-103.4809797",False
,
,True
,False
,False
,
,False
,False
"20.6228137,-103.4594642",True
,False
,
,True
,
"20.6192979,-103.4589773",True
"20.6250451,-103.4571122",False
"20.6217511,-103.458911",True
"20.7331023,-103.4079369",False
,
,False
"20.6197537,-103.4603053",True
"20.6245288,-103.4578023",True
"20.6872668,-103.4421213",False
"20.7522173,-103.3634535",False
,False
"20.6395136,-103.4801567",True
"20.6411289,-103.4830733",True
"20.6403913,-103.4737876",True
"20.6473685,-103.4778397",True
"20.6395136,-103.4801567",True
"20.639748,-103.4820902",True
"20.6396943,-103.4820949",True
"20.6434838,-103.4754234",False
"20.6432898,-103.4778791",True
,
"20.6432966,-103.4758381",False
"20.6422364,-103.4765426",True
"20.6433558,-103.478342",True
,
"20.6443314,-103.478263",True
"20.6443314,-103.478263",False
"20.6443012,-103.478233",True
,False
"20.6333358,-103.4712678",True
"20.6426746,-103.4714693",False
"20.6370348,-103.4696656",True
,True
"20.6319238,-103.4656292",False
"20.6385708,-103.4694786",True
"20.6368106,-103.4698173",False
"20.6368106,-103.4698173",True
"20.6319234,-103.465626",False
,
"20.6374514,-103.4704069",True
,
"20.6338785,-103.4701222",False
"20.639761,-103.4705713",True
"20.6333935,-103.4717356",False
"20.6333943,-103.2709181",False
,True
"20.6339491,-103.2714141",False
"20.6340526,-103.2706701",False
,
,True
"20.6348673,-103.269659",True
"20.6335397,-103.2715086",False
"20.6332465,-103.2721963",True
"20.6343398,-103.2713462",False
"20.6345589,-103.2712784",False
,
"20.6346757,-103.2716414",True
,False
,True
,False
"20.6358752,-103.2704516",False
,
"20.6334107,-103.2718133",False
"20.6476422,-103.4733434",True
"20.6482526,-103.470722",True
"20.6482983,-103.470722",True
"20.6342841,-103.2699965",False
"20.6346674,-103.2739713",False
"20.6346201,-103.2738918",False
"20.6350711,-103.2740069",True
"20.6234083,-103.2699807",True
"20.6358132,-103.2739603",True
"20.6351817,-103.274052",True
"20.6352003,-103.2717111",False
"20.6353909,-103.2739145",True
"20.6353869,-103.273403",True
"20.6353042,-103.2738636",True
"20.635664,-103.270999",False
"20.6401775,-103.2687988",False
"20.6357066,-103.2675926",False
"20.635664,-103.2687311",True
"20.6360145,-103.2685634",False
"20.6425536,-103.2636818",False
"20.6366226,-103.2731194",True
,
"20.6365624,-103.272857",True
"20.6343246,-103.2695202",False
,
,
"20.6367122,-103.273099",True
"20.6366519,-103.272802",True
,
,True
"20.6363772,-103.2734996",True
"20.6365176,-103.273308",True
,
"20.7522074,-103.3657592",True
