,TimeStamp,Metric1,Metric2,Metric3,Metric1 Interpretation,Metric2 Interpretation,Metric3 Interpretation,Link,RT,Quotes,Likes,Views
twitter.com/chemamtz_/status/1705762925036605503,2023-09-24 01:55:47.000,0.222231924533844,0.2431260587718192,0.8022561311721802,Enojo/Molestia,Enojo/Molestia,Aprobacion/Alegria,twitter.com/chemamtz_/status/1705762925036605503,14,8,44,1198
twitter.com/chemamtz_/status/1711416269117727228,2023-10-09 16:20:09.000,0.7503273204753274,0.07308767019567317,0.5197520538380271,Aprobacion/Alegria,Mucho Enojo/Molestia,Neutral,twitter.com/chemamtz_/status/1711416269117727228,16,13,38,1380
twitter.com/chemamtz_/status/1709019653324824580,2023-10-03 01:36:52.000,0.08881324529647827,0.3156428464188133,0.9987404743830363,Mucho Enojo/Molestia,Enojo/Molestia,Mucha Aprobacion/Alegria,twitter.com/chemamtz_/status/1709019653324824580,11,5,30,394
twitter.com/chemamtz_/status/1710508132466937902,2023-10-07 04:11:33.000,0.5103980501492819,0.2990251123303884,0.8825952410697937,Neutral,Enojo/Molestia,Aprobacion/Alegria,twitter.com/chemamtz_/status/1710508132466937902,15,10,52,966
twitter.com/chemamtz_/status/1708988586819829966,2023-10-02 23:33:25.000,0.7480737070242564,0.25144779254301974,0.9450686375300089,Aprobacion/Alegria,Enojo/Molestia,Mucha Aprobacion/Alegria,twitter.com/chemamtz_/status/1708988586819829966,9,7,32,553
twitter.com/chemamtz_/status/1726723968986501330,2023-11-20 22:07:29.000,0.21981883474758693,0.18404291906332862,0.33490742104394094,Enojo/Molestia,Enojo/Molestia,Enojo/Molestia,twitter.com/chemamtz_/status/1726723968986501330,18,9,53,1349
twitter.com/chemamtz_/status/1729837784746127835,2023-11-29 12:20:41.000,0.8518065065145493,0.11205177734898498,0.5939472147396633,Aprobacion/Alegria,Enojo/Molestia,Neutral,twitter.com/chemamtz_/status/1729837784746127835,14,12,51,3126
twitter.com/chemamtz_/status/1717170648005345320,2023-10-25 13:26:00.000,0.8518065065145493,0.11205177734898498,0.5939472147396633,Aprobacion/Alegria,Enojo/Molestia,Neutral,twitter.com/chemamtz_/status/1717170648005345320,12,0,32,2114062
twitter.com/chemamtz_/status/1704141082227863594,2023-09-19 14:31:10.000,0.5540182590484619,0.00019293506639047318,0.9973047971725464,Neutral,Mucho Enojo/Molestia,Mucha Aprobacion/Alegria,twitter.com/chemamtz_/status/1704141082227863594,6,4,23,806
twitter.com/chemamtz_/status/1730604357031264493,2023-12-01 15:06:46.000,0.5002138957381248,0.455589016519255,0.6738923341035843,Neutral,Neutral,Aprobacion/Alegria,twitter.com/chemamtz_/status/1730604357031264493,10,5,31,861
twitter.com/chemamtz_/status/1706368484920193378,2023-09-25 18:02:04.000,0.7218289235432943,0.271699259124609,0.6254409980773926,Aprobacion/Alegria,Enojo/Molestia,Aprobacion/Alegria,twitter.com/chemamtz_/status/1706368484920193378,49,85,187,17107
twitter.com/chemamtz_/status/1715088177558393073,2023-10-19 19:31:00.000,0.5879707729816437,0.38996602014383075,0.8941206932067871,Neutral,Enojo/Molestia,Aprobacion/Alegria,twitter.com/chemamtz_/status/1715088177558393073,14,5,35,576
twitter.com/chemamtz_/status/1729707454705901898,2023-11-29 03:42:48.000,0.5879707729816437,0.38996602014383075,0.8941206932067871,Neutral,Enojo/Molestia,Aprobacion/Alegria,twitter.com/chemamtz_/status/1729707454705901898,6,0,17,485
twitter.com/chemamtz_/status/1714122307059216700,2023-10-17 03:32:59.000,0.37743236621220905,0.056331859922116846,0.391732116540273,Enojo/Molestia,Mucho Enojo/Molestia,Enojo/Molestia,twitter.com/chemamtz_/status/1714122307059216700,9,3,32,543
twitter.com/chemamtz_/status/1711225070629085631,2023-10-09 03:40:24.000,0.7506580650806427,0.268998464492219,0.9949440956115723,Aprobacion/Alegria,Enojo/Molestia,Mucha Aprobacion/Alegria,twitter.com/chemamtz_/status/1711225070629085631,13,15,47,974
twitter.com/chemamtz_/status/1709733450633125937,2023-10-05 00:53:14.000,0.36996896147727965,0.1894988595684199,0.7589204668998718,Enojo/Molestia,Enojo/Molestia,Aprobacion/Alegria,twitter.com/chemamtz_/status/1709733450633125937,6,7,42,531
twitter.com/chemamtz_/status/1712963497166844330,2023-10-13 22:48:17.000,0.8935453295707703,0.4796181731359362,0.6652322808901469,Aprobacion/Alegria,Neutral,Aprobacion/Alegria,twitter.com/chemamtz_/status/1712963497166844330,4,14,25,219
twitter.com/chemamtz_/status/1715823992915841368,2023-10-21 20:14:53.000,0.5428450323641301,0.13373145738353934,0.3206207975745201,Neutral,Enojo/Molestia,Enojo/Molestia,twitter.com/chemamtz_/status/1715823992915841368,7,8,32,829
twitter.com/chemamtz_/status/1722426489734369595,2023-11-09 01:30:50.000,0.4089433411757151,0.006650637158631786,0.6543981830279032,Neutral,Mucho Enojo/Molestia,Aprobacion/Alegria,twitter.com/chemamtz_/status/1722426489734369595,19,3,53,1453
twitter.com/chemamtz_/status/1733506963969900996,2023-12-09 15:20:41.000,0.7505868357770583,0.1126740342704333,0.4876490445698009,Aprobacion/Alegria,Enojo/Molestia,Neutral,twitter.com/chemamtz_/status/1733506963969900996,27,21,79,3747
twitter.com/chemamtz_/status/1708845028473438243,2023-10-02 14:02:58.000,0.43426162153482445,0.4158259985903223,0.7133544147014618,Neutral,Neutral,Aprobacion/Alegria,twitter.com/chemamtz_/status/1708845028473438243,14,12,49,921
twitter.com/chemamtz_/status/1704876032455512558,2023-09-21 15:11:35.000,0.5659791094916208,0.1775907988246284,0.7100169573511396,Neutral,Enojo/Molestia,Aprobacion/Alegria,twitter.com/chemamtz_/status/1704876032455512558,15,9,42,1039
twitter.com/chemamtz_/status/1720844001228587331,2023-11-04 16:42:36.000,0.6194769406318665,0.11350944757644207,0.6173416495323181,Aprobacion/Alegria,Enojo/Molestia,Aprobacion/Alegria,twitter.com/chemamtz_/status/1720844001228587331,18,6,54,1966
twitter.com/chemamtz_/status/1716588478048379115,2023-10-23 22:52:40.000,0.6194769406318665,0.11350944757644207,0.6173416495323181,Aprobacion/Alegria,Enojo/Molestia,Aprobacion/Alegria,twitter.com/chemamtz_/status/1716588478048379115,12,0,32,655
twitter.com/chemamtz_/status/1718752126170517993,2023-10-29 22:10:14.000,0.6194769406318665,0.11350944757644207,0.6173416495323181,Aprobacion/Alegria,Enojo/Molestia,Aprobacion/Alegria,twitter.com/chemamtz_/status/1718752126170517993,9,0,34,563
twitter.com/chemamtz_/status/1717726698534219849,2023-10-27 02:15:33.000,0.4981372272968293,0.15521525265137653,0.4644192099571228,Neutral,Enojo/Molestia,Neutral,twitter.com/chemamtz_/status/1717726698534219849,15,5,38,2170
twitter.com/chemamtz_/status/1720873395032568240,2023-11-04 18:39:24.000,0.4981372272968293,0.15521525265137653,0.4644192099571228,Neutral,Enojo/Molestia,Neutral,twitter.com/chemamtz_/status/1720873395032568240,1,0,8,279
twitter.com/chemamtz_/status/1719765747625300299,2023-11-01 17:18:00.000,0.7406989405552546,0.2188017629222375,0.8120688398679098,Aprobacion/Alegria,Enojo/Molestia,Aprobacion/Alegria,twitter.com/chemamtz_/status/1719765747625300299,9,6,33,1390
twitter.com/chemamtz_/status/1713714693922033677,2023-10-16 00:33:16.000,0.5269591593742371,0.3510416169012063,0.41535321474075315,Neutral,Enojo/Molestia,Neutral,twitter.com/chemamtz_/status/1713714693922033677,11,7,36,702
twitter.com/chemamtz_/status/1716526759833723045,2023-10-23 18:47:25.000,0.9065356850624084,0.48490525416934854,0.998420238494873,Mucha Aprobacion/Alegria,Neutral,Mucha Aprobacion/Alegria,twitter.com/chemamtz_/status/1716526759833723045,12,2,37,562
twitter.com/chemamtz_/status/1712831553317785762,2023-10-13 14:03:59.000,0.40347513719038536,0.2548115206184195,0.7214811606840654,Neutral,Enojo/Molestia,Aprobacion/Alegria,twitter.com/chemamtz_/status/1712831553317785762,14,20,48,1326
twitter.com/chemamtz_/status/1716964602024452439,2023-10-24 23:47:15.000,0.35930499404668814,0.16362245035392176,0.6111076280474663,Enojo/Molestia,Enojo/Molestia,Aprobacion/Alegria,twitter.com/chemamtz_/status/1716964602024452439,62,41,169,2129786
twitter.com/chemamtz_/status/1704630978591822149,2023-09-20 22:57:50.000,0.3331345468759537,0.1810155306128028,0.71123206615448,Enojo/Molestia,Enojo/Molestia,Aprobacion/Alegria,twitter.com/chemamtz_/status/1704630978591822149,6,6,31,675
twitter.com/chemamtz_/status/1707486022827639156,2023-09-28 20:02:46.000,0.9371720623970031,0.2708921768187926,0.975494019985199,Mucha Aprobacion/Alegria,Enojo/Molestia,Mucha Aprobacion/Alegria,twitter.com/chemamtz_/status/1707486022827639156,39,26,98,2220
twitter.com/chemamtz_/status/1716302423902302322,2023-10-23 03:55:59.000,0.9372462630271912,0.002909929769658927,0.9868321418762207,Mucha Aprobacion/Alegria,Mucho Enojo/Molestia,Mucha Aprobacion/Alegria,twitter.com/chemamtz_/status/1716302423902302322,4,2,16,277
twitter.com/chemamtz_/status/1713282352900689933,2023-10-14 19:55:18.000,0.40687378247578937,0.3600560033976182,0.3753933509190877,Neutral,Enojo/Molestia,Enojo/Molestia,twitter.com/chemamtz_/status/1713282352900689933,7,32,25,238
