,TimeStamp,Metric1,Metric2,Metric3,Metric1 Interpretation,Metric2 Interpretation,Metric3 Interpretation,Link,RT,Quotes,Likes,Views
twitter.com/victorpaezc/status/1729894693406679263,2023-11-29 16:06:49.000,0,0,0,0,0,0,twitter.com/victorpaezc/status/1729894693406679263,0,0,2,73
twitter.com/victorpaezc/status/1723396900898959834,2023-11-11 17:46:54.000,0,0,0,0,0,0,twitter.com/victorpaezc/status/1723396900898959834,1,0,2,36
twitter.com/victorpaezc/status/1697635911150768337,2023-09-01 15:41:56.000,0,0,0,0,0,0,twitter.com/victorpaezc/status/1697635911150768337,0,0,0,19
twitter.com/victorpaezc/status/1694457914075865289,2023-08-23 21:13:42.000,0,0,0,0,0,0,twitter.com/victorpaezc/status/1694457914075865289,0,0,0,3
twitter.com/victorpaezc/status/1704940082145144843,2023-09-21 19:26:06.000,0,0,0,0,0,0,twitter.com/victorpaezc/status/1704940082145144843,1,0,2,45
twitter.com/victorpaezc/status/1696019290489487382,2023-08-28 04:38:04.000,0,0,0,0,0,0,twitter.com/victorpaezc/status/1696019290489487382,0,0,6,73
twitter.com/victorpaezc/status/1731027025480085790,2023-12-02 19:06:18.000,0,0,0,0,0,0,twitter.com/victorpaezc/status/1731027025480085790,0,0,3,29
twitter.com/victorpaezc/status/1694084377393729988,2023-08-22 20:29:24.000,0,0,0,0,0,0,twitter.com/victorpaezc/status/1694084377393729988,0,0,0,39
